
time,ax,ay,az,wx,wy,wz
0.553,1.02,0.48,-0.48,-0.22,-0.23,-0.76
0.555,1.02,0.48,-0.48,-0.23,-0.23,-0.74
0.557,1.02,0.48,-0.48,-0.24,-0.24,-0.72
0.557,1.07,0.35,-0.49,-0.24,-0.24,-0.72
0.561,1.00,0.16,-0.46,-0.24,-0.24,-0.72
0.561,1.00,0.16,-0.46,-0.25,-0.25,-0.70
0.565,1.00,0.16,-0.46,-0.26,-0.26,-0.68
0.565,1.00,0.16,-0.46,-0.27,-0.27,-0.65
0.565,0.90,-0.03,-0.46,-0.27,-0.27,-0.65
0.569,0.90,-0.03,-0.46,-0.28,-0.28,-0.62
0.569,0.67,-0.18,-0.45,-0.28,-0.28,-0.62
0.575,0.67,-0.18,-0.45,-0.28,-0.29,-0.59
0.576,0.67,-0.18,-0.45,-0.28,-0.31,-0.55
0.576,0.37,-0.34,-0.43,-0.28,-0.31,-0.55
0.576,0.37,-0.34,-0.43,-0.28,-0.35,-0.50
0.576,0.37,-0.34,-0.43,-0.28,-0.39,-0.45
0.577,-0.06,-0.54,-0.40,-0.28,-0.39,-0.45
0.581,-0.44,-0.73,-0.37,-0.28,-0.39,-0.45
0.581,-0.44,-0.73,-0.37,-0.27,-0.43,-0.40
0.583,-0.44,-0.73,-0.37,-0.27,-0.48,-0.34
0.585,-0.44,-0.73,-0.37,-0.26,-0.53,-0.27
0.585,-0.74,-0.86,-0.41,-0.26,-0.53,-0.27
0.588,-0.74,-0.86,-0.41,-0.27,-0.57,-0.19
0.588,-1.05,-0.93,-0.58,-0.27,-0.57,-0.19
0.593,-1.05,-0.93,-0.58,-0.28,-0.60,-0.12
0.594,-1.05,-0.93,-0.58,-0.29,-0.62,-0.04
0.594,-1.12,-0.92,-0.84,-0.29,-0.62,-0.04
0.597,-1.12,-0.92,-0.84,-0.32,-0.62,0.03
0.597,-1.05,-0.85,-1.03,-0.32,-0.62,0.03
0.597,-1.05,-0.85,-1.03,-0.36,-0.61,0.11
0.601,-1.05,-0.85,-1.03,-0.42,-0.60,0.17
0.602,-0.92,-0.79,-1.18,-0.42,-0.60,0.17
0.606,-0.92,-0.79,-1.18,-0.47,-0.60,0.23
0.606,-0.92,-0.79,-1.18,-0.52,-0.60,0.28
0.607,-0.79,-0.57,-1.09,-0.52,-0.60,0.28
0.624,-0.79,-0.57,-1.09,-0.57,-0.59,0.32
0.625,-0.73,-0.32,-0.89,-0.57,-0.59,0.32
0.625,-0.92,-0.21,-0.78,-0.57,-0.59,0.32
0.625,-1.09,-0.06,-0.65,-0.57,-0.59,0.32
0.625,-1.09,-0.06,-0.65,-0.61,-0.57,0.36
0.625,-1.09,-0.06,-0.65,-0.66,-0.54,0.39
0.625,-1.09,-0.06,-0.65,-0.69,-0.49,0.41
0.625,-1.06,0.07,-0.47,-0.69,-0.49,0.41
0.625,-1.06,0.07,-0.47,-0.72,-0.45,0.43
0.626,-1.06,0.07,-0.47,-0.75,-0.40,0.44
0.628,-1.06,0.07,-0.47,-0.76,-0.35,0.44
0.628,-1.06,0.07,-0.47,-0.76,-0.30,0.44
0.629,-0.88,0.14,-0.25,-0.76,-0.30,0.44
0.629,-0.88,0.14,-0.25,-0.75,-0.26,0.43
0.629,-0.71,0.15,0.04,-0.75,-0.26,0.43
0.632,-0.51,0.15,0.32,-0.75,-0.26,0.43
0.632,-0.51,0.15,0.32,-0.74,-0.23,0.42
0.632,-0.51,0.15,0.32,-0.71,-0.22,0.40
0.635,-0.51,0.15,0.32,-0.68,-0.21,0.38
0.635,-0.51,0.15,0.32,-0.64,-0.21,0.36
0.635,-0.35,0.18,0.53,-0.64,-0.21,0.36
0.639,-0.18,0.21,0.65,-0.64,-0.21,0.36
0.64,-0.18,0.21,0.65,-0.60,-0.22,0.33
0.643,-0.18,0.21,0.65,-0.55,-0.23,0.31
0.643,-0.18,0.21,0.65,-0.50,-0.25,0.28
0.643,-0.11,0.26,0.72,-0.50,-0.25,0.28
0.646,-0.11,0.26,0.72,-0.45,-0.28,0.25
0.647,-0.14,0.22,0.91,-0.45,-0.28,0.25
0.65,-0.14,0.22,0.91,-0.39,-0.32,0.23
0.651,-0.22,0.16,1.07,-0.39,-0.32,0.23
0.651,-0.22,0.16,1.07,-0.32,-0.36,0.21
0.656,-0.22,0.16,1.07,-0.26,-0.39,0.19
0.657,-0.23,0.11,1.12,-0.26,-0.39,0.19
0.657,-0.23,0.11,1.12,-0.19,-0.41,0.17
