
time,wx,wy,wz,ax,ay,az
0.863,-0.08,-0.07,-0.09,-0.18,0.58,0.29
0.867,-0.08,-0.07,-0.09,-0.17,0.60,0.28
0.868,-0.07,-0.07,-0.09,-0.17,0.60,0.28
0.872,-0.07,-0.06,-0.09,-0.17,0.60,0.28
0.873,-0.07,-0.06,-0.09,-0.14,0.59,0.31
0.877,-0.06,-0.05,-0.08,-0.14,0.59,0.31
0.879,-0.06,-0.05,-0.08,-0.13,0.59,0.31
0.882,-0.05,-0.04,-0.08,-0.13,0.59,0.31
0.883,-0.05,-0.04,-0.08,-0.11,0.59,0.26
0.887,-0.04,-0.03,-0.08,-0.11,0.59,0.26
0.888,-0.04,-0.03,-0.08,-0.12,0.60,0.24
0.899,-0.04,-0.03,-0.08,-0.13,0.62,0.18
0.902,-0.04,-0.01,-0.08,-0.13,0.62,0.18
0.903,-0.03,0.01,-0.08,-0.13,0.62,0.18
0.905,-0.03,0.01,-0.08,-0.10,0.61,0.12
0.906,-0.03,0.03,-0.07,-0.10,0.61,0.12
0.907,-0.03,0.03,-0.07,-0.10,0.64,-0.01
0.909,-0.03,0.03,-0.07,-0.09,0.58,-0.04
0.91,-0.03,0.05,-0.07,-0.09,0.58,-0.04
0.914,-0.03,0.06,-0.07,-0.09,0.58,-0.04
0.916,-0.03,0.06,-0.07,-0.07,0.59,-0.10
0.917,-0.03,0.08,-0.06,-0.07,0.59,-0.10
0.919,-0.03,0.08,-0.06,-0.04,0.63,-0.20
0.923,-0.03,0.09,-0.06,-0.04,0.63,-0.20
0.924,-0.03,0.09,-0.06,-0.07,0.64,-0.21
0.927,-0.03,0.08,-0.06,-0.07,0.64,-0.21
0.929,-0.03,0.08,-0.06,-0.09,0.66,-0.24
0.932,-0.03,0.08,-0.05,-0.09,0.66,-0.24
0.933,-0.03,0.08,-0.05,-0.07,0.68,-0.27
0.938,-0.03,0.08,-0.05,-0.05,0.70,-0.29
0.939,-0.03,0.07,-0.04,-0.05,0.70,-0.29
0.943,-0.03,0.05,-0.04,-0.05,0.70,-0.29
0.945,-0.03,0.05,-0.04,-0.05,0.73,-0.25
0.948,-0.02,0.04,-0.04,-0.05,0.73,-0.25
0.948,-0.02,0.04,-0.04,-0.06,0.70,-0.22
0.952,-0.02,0.04,-0.04,-0.06,0.68,-0.17
0.953,-0.01,0.01,-0.04,-0.06,0.68,-0.17
0.958,-0.01,0.01,-0.04,-0.07,0.69,-0.14
0.961,0.01,-0.01,-0.04,-0.07,0.69,-0.14
0.963,0.02,-0.02,-0.03,-0.07,0.69,-0.14
0.964,0.02,-0.02,-0.03,-0.09,0.69,-0.12
0.968,0.02,-0.02,-0.03,-0.09,0.68,-0.07
0.969,0.04,-0.04,-0.03,-0.09,0.68,-0.07
0.973,0.04,-0.04,-0.03,-0.07,0.67,-0.05
0.974,0.06,-0.05,-0.03,-0.07,0.67,-0.05
0.978,0.08,-0.05,-0.03,-0.07,0.67,-0.05
0.98,0.08,-0.05,-0.03,-0.06,0.67,-0.06
0.983,0.09,-0.05,-0.03,-0.06,0.67,-0.06
0.984,0.09,-0.05,-0.03,-0.06,0.65,-0.08
0.988,0.09,-0.06,-0.03,-0.06,0.65,-0.08
0.989,0.09,-0.06,-0.03,-0.09,0.65,-0.11
0.993,0.09,-0.06,-0.03,-0.09,0.66,-0.15
0.995,0.09,-0.05,-0.03,-0.09,0.66,-0.15
1.008,0.08,-0.04,-0.03,-0.09,0.66,-0.15
1.009,0.08,-0.04,-0.03,-0.12,0.62,-0.17
1.01,0.08,-0.04,-0.03,-0.15,0.62,-0.16
1.011,0.07,-0.03,-0.03,-0.15,0.62,-0.16
1.013,0.07,-0.03,-0.03,-0.12,0.64,-0.16
1.015,0.06,-0.02,-0.03,-0.12,0.64,-0.16
1.016,0.06,-0.02,-0.03,-0.14,0.67,-0.14
1.017,0.05,-0.00,-0.03,-0.14,0.67,-0.14
1.018,0.04,0.01,-0.03,-0.14,0.67,-0.14
1.019,0.04,0.01,-0.03,-0.16,0.63,-0.09
1.024,0.04,0.01,-0.03,-0.14,0.62,-0.10
1.026,0.03,0.03,-0.03,-0.14,0.62,-0.10
1.028,0.02,0.04,-0.03,-0.14,0.62,-0.10
1.029,0.02,0.04,-0.03,-0.16,0.63,-0.05
1.033,0.02,0.04,-0.03,-0.17,0.64,-0.02
1.034,0.02,0.06,-0.03,-0.17,0.64,-0.02
1.038,0.02,0.06,-0.03,-0.20,0.61,0.00
1.039,0.01,0.07,-0.03,-0.20,0.61,0.00
1.049,0.01,0.09,-0.03,-0.20,0.61,0.00
1.05,0.01,0.09,-0.03,-0.24,0.62,0.01
1.051,0.01,0.10,-0.03,-0.24,0.62,0.01
1.052,0.01,0.10,-0.03,-0.25,0.58,-0.02
1.053,0.01,0.10,-0.03,-0.25,0.55,-0.05
1.054,0.01,0.12,-0.03,-0.25,0.55,-0.05
1.058,0.01,0.13,-0.02,-0.25,0.55,-0.05
1.06,0.01,0.13,-0.02,-0.28,0.59,-0.05
1.063,0.01,0.13,-0.02,-0.28,0.60,-0.10
1.064,0.01,0.14,-0.02,-0.28,0.60,-0.10
1.068,0.01,0.15,-0.01,-0.28,0.60,-0.10
1.069,0.01,0.15,-0.01,-0.26,0.59,-0.15
1.075,0.01,0.15,-0.01,-0.27,0.58,-0.20
1.077,0.02,0.16,-0.01,-0.27,0.58,-0.20
1.078,0.02,0.17,-0.01,-0.27,0.58,-0.20
1.079,0.02,0.17,-0.01,-0.28,0.59,-0.22
1.084,0.02,0.17,-0.00,-0.28,0.59,-0.22
1.085,0.02,0.17,-0.00,-0.28,0.58,-0.28
1.089,0.01,0.18,0.01,-0.28,0.58,-0.28
1.089,0.01,0.18,0.01,-0.27,0.56,-0.33
